SampleName,Strain,Replicate,Barcode,Strain_Rep
N2_III_48S,N2,III,48S,N2_III
N2_III_4S,N2,III,4S,N2_III
N2_III_5S,N2,III,5S,N2_III
N2_III_6S,N2,III,6S,N2_III
N2_III_7S,N2,III,7S,N2_III
N2_III_8S,N2,III,8S,N2_III
N2_III_9S,N2,III,9S,N2_III
daf2_III_10S,daf2,III,10S,daf2_III
daf2_III_11S,daf2,III,11S,daf2_III
daf2_III_12S,daf2,III,12S,daf2_III
daf2_III_13S,daf2,III,13S,daf2_III
daf2_III_14S,daf2,III,14S,daf2_III
daf2_III_15S,daf2,III,15S,daf2_III
daf2_III_16S,daf2,III,16S,daf2_III
daf2_III_17S,daf2,III,17S,daf2_III
daf2_III_18S,daf2,III,18S,daf2_III
daf2_III_19S,daf2,III,19S,daf2_III
daf2_III_1S,daf2,III,1S,daf2_III
daf2_III_20S,daf2,III,20S,daf2_III
daf2_III_21S,daf2,III,21S,daf2_III
daf2_III_22S,daf2,III,22S,daf2_III
daf2_III_23S,daf2,III,23S,daf2_III
daf2_III_24S,daf2,III,24S,daf2_III
daf2_III_25S,daf2,III,25S,daf2_III
daf2_III_26S,daf2,III,26S,daf2_III
daf2_III_27S,daf2,III,27S,daf2_III
daf2_III_28S,daf2,III,28S,daf2_III
daf2_III_29S,daf2,III,29S,daf2_III
daf2_III_2S,daf2,III,2S,daf2_III
daf2_III_30S,daf2,III,30S,daf2_III
daf2_III_31S,daf2,III,31S,daf2_III
daf2_III_32S,daf2,III,32S,daf2_III
daf2_III_33S,daf2,III,33S,daf2_III
daf2_III_34S,daf2,III,34S,daf2_III
daf2_III_35S,daf2,III,35S,daf2_III
daf2_III_36S,daf2,III,36S,daf2_III
daf2_III_37S,daf2,III,37S,daf2_III
daf2_III_38S,daf2,III,38S,daf2_III
daf2_III_39S,daf2,III,39S,daf2_III
daf2_III_3S,daf2,III,3S,daf2_III
daf2_III_40S,daf2,III,40S,daf2_III
daf2_III_41S,daf2,III,41S,daf2_III
daf2_III_42S,daf2,III,42S,daf2_III
daf2_III_43S,daf2,III,43S,daf2_III
daf2_III_44S,daf2,III,44S,daf2_III
daf2_III_45S,daf2,III,45S,daf2_III
daf2_III_46S,daf2,III,46S,daf2_III
daf2_III_47S,daf2,III,47S,daf2_III
daf2_III_48S,daf2,III,48S,daf2_III
daf2_III_4S,daf2,III,4S,daf2_III
daf2_III_5S,daf2,III,5S,daf2_III
daf2_III_6S,daf2,III,6S,daf2_III
daf2_III_7S,daf2,III,7S,daf2_III
daf2_III_8S,daf2,III,8S,daf2_III
daf2_III_9S,daf2,III,9S,daf2_III
